country,code,tfr_early,ctfr_early,te_early,tfr_recent,ctfr_recent,te_recent,delta_tfr,delta_ctfr,timing_contrib,cbpi,region
Afghanistan,AFG,6.65527,6.673777179399474,-0.018507179399474882,6.4387925,6.052714477434336,0.3860780225656635,0.21647749999999988,0.6210627019651378,-0.40458520196513836,,South Asia
Albania,ALB,4.2155700000000005,3.79958417785396,0.4159858221460404,2.1199500000000002,2.163939140811641,-0.04398914081164107,2.0956200000000003,1.6356450370423188,0.4599749629576815,0.21949349736960014,Europe
Algeria,DZA,6.76187,6.350953764897117,0.41091623510288366,2.48412,3.1506276983622366,-0.6665076983622369,4.27775,3.2003260665348803,1.0774239334651206,0.2518669705955515,Middle East & N. Africa
American Samoa,ASM,4.8186824999999995,4.798119134240798,0.0205633657592017,3.6566324999999997,3.623313051075053,0.03331944892494687,1.1620499999999998,1.1748060831657448,-0.012756083165745169,-0.010977224014237917,Other
Andorra,AND,2.2510875,1.9607877105064406,0.2902997894935595,1.2500675,1.3338916361767297,-0.08382413617672968,1.00102,0.626896074329711,0.3741239256702892,0.373742708108019,Europe
Angola,AGO,6.646665,6.471069761767804,0.1755952382321948,5.653347500000001,5.492805582872008,0.16054191712799204,0.993317499999999,0.9782641788957962,0.015053321104202766,0.015154591662990716,Other
Anguilla,AIA,3.3711675000000003,3.1090618649471216,0.2621056350528783,1.50237,1.5457518664840135,-0.04338186648401354,1.8687975000000003,1.563309998463108,0.30548750153689186,0.16346741770410747,Latin America
Antigua and Barbuda,ATG,2.3771475,2.4207008250656785,-0.04355332506567855,1.6623075,1.6724069938345263,-0.010099493834526352,0.7148399999999999,0.7482938312311522,-0.0334538312311522,-0.04679904766262689,Latin America
Argentina,ARG,2.86832,2.7574755534184625,0.11084444658153791,2.2190125000000003,2.3286407778058065,-0.10962827780580642,0.6493074999999999,0.42883477561265604,0.22047272438734433,0.3395505586911353,Latin America
Armenia,ARM,2.633585,2.420943596307575,0.21264140369242468,1.4263375,1.6626617493706095,-0.23632424937060936,1.2072475,0.7582818469369657,0.44896565306303404,0.37189197166532467,Europe
Aruba,ABW,2.2517125,2.3182937817326597,-0.06658128173265965,1.697935,1.8075345946079113,-0.10959959460791135,0.5537775,0.5107591871247483,0.04301831287525171,0.07768158308210735,Latin America
Australia,AUS,2.0344374999999997,2.21514305196759,-0.1807055519675903,1.674415,1.915603594102603,-0.24118859410260296,0.3600224999999997,0.29953945786498704,0.060483042135012655,0.16799795050312885,East Asia & Pacific
Austria,AUT,1.5397699999999999,1.6284885888402258,-0.08871858884022576,1.303255,1.5261899025824628,-0.22293490258246274,0.2365149999999998,0.10229868625776306,0.13421631374223697,,Europe
Azerbaijan,AZE,3.9675000000000002,3.5221403176802286,0.4453596823197714,1.5510075,1.8493438262409787,-0.2983363262409786,2.4164925000000004,1.67279649143925,0.74369600856075,0.3077584592382347,Europe
Bahamas,BHS,2.9887474999999997,2.99727339685065,-0.008525896850650305,1.870985,1.925336928681456,-0.054351928681456,1.1177624999999998,1.071936468169194,0.04582603183080569,0.040998004344219546,Latin America
Bahrain,BHR,4.9686375,4.846766310423423,0.12187118957657761,2.7276925,2.674723306132006,0.05296919386799348,2.240945,2.1720430042914165,0.06890199570858413,0.030746848186182226,Middle East & N. Africa
Bangladesh,BGD,5.338125,4.875580769891112,0.4625442301088878,2.4017,2.38130794285501,0.020392057144989817,2.936425,2.494272827036102,0.44215217296389797,0.15057499270844582,South Asia
Barbados,BRB,1.9504700000000001,1.9927878690929264,-0.04231786909292623,1.4655775,1.5320586952601025,-0.06648119526010254,0.48489250000000017,0.46072917383282386,0.024163326167176313,0.04983233637801431,Latin America
Belarus,BLR,1.9886125000000001,1.85334564144474,0.13526685855526,1.0934675,1.4324998367408843,-0.3390323367408843,0.8951450000000001,0.4208458047038557,0.4742991952961443,0.5298573921500362,Europe
Belgium,BEL,1.695925,1.7528747528716662,-0.05694975287166626,1.5743675,1.790875074798619,-0.21650757479861926,0.12155749999999999,-0.03800032192695291,0.159557821926953,,Europe
Belize,BLZ,5.4158925,5.0535534800753235,0.36233901992467654,3.04353,2.987932357859147,0.055597642140853054,2.3723625,2.0656211222161764,0.3067413777838235,0.12929785299836072,Other
Benin,BEN,5.8775375,5.934738223566402,-0.05720072356640227,5.14842,5.082921756223825,0.06549824377617552,0.7291175000000001,0.8518164673425774,-0.12269896734257779,-0.16828421666271592,Other
Bermuda,BMU,1.6895850000000001,1.9451115557610819,-0.25552655576108196,1.602145,1.7459063584771781,-0.1437613584771782,0.08744000000000018,0.19920519728390373,-0.11176519728390377,,North America
Bhutan,BTN,5.9061275,5.7507062284467985,0.1554212715532013,3.0108175,3.2318724034016704,-0.22105490340167067,2.8953100000000003,2.518833825045128,0.37647617495487196,0.1300296600208171,South Asia
Bolivia,BOL,5.0777125000000005,4.885189210110688,0.19252328988931255,3.406035,3.3805153613486727,0.025519638651327448,1.6716775000000004,1.5046738487620157,0.1670036512379851,0.09990183587323816,Latin America
Bonaire Sint Eustatius and Saba,BES,2.60502,2.6478741925289646,-0.042854192528964496,1.65503,1.7924052760362776,-0.13737527603627764,0.9499900000000001,0.855468916492687,0.09452108350731314,0.09949692471216869,Other
Bosnia and Herzegovina,BIH,2.084915,2.036884989477841,0.04803001052215894,1.27844,1.4278120646489918,-0.14937206464899178,0.806475,0.6090729248288493,0.19740207517115071,0.24477147483945652,Europe
Botswana,BWA,5.5665,5.091730263768113,0.4747697362318868,2.7999475,3.0232283091904613,-0.22328080919046145,2.7665524999999995,2.068501954577652,0.6980505454223482,0.2523178379670541,Sub-Saharan Africa
Brazil,BRA,3.9488375,3.6498964055935623,0.2989410944064377,1.7764349999999998,1.8819394488538643,-0.10550444885386456,2.1724025,1.767956956739698,0.40444554326030224,0.1861743131212113,Latin America
British Virgin Islands,VGB,2.7928625,2.595371514386959,0.19749098561304135,1.2337325,1.2807405860208358,-0.04700808602083584,1.5591300000000001,1.314630928366123,0.24449907163387719,0.15681763011030328,Latin America
Brunei,BRN,4.51909,4.522171953858363,-0.0030819538583637396,2.2172150000000004,2.311039588682494,-0.09382458868249355,2.301875,2.211132365175869,0.09074263482412981,0.039421182655065896,East Asia & Pacific
Bulgaria,BGR,1.7734975,1.70359968418173,0.06989781581826993,0.9739125000000001,1.3299139673759517,-0.35600146737595173,0.7995849999999999,0.37368571680577833,0.42589928319422166,0.5326504163962827,Europe
Burkina Faso,BFA,6.012560000000001,6.039428813905935,-0.02686881390593454,5.6173175,5.472618823433407,0.1446986765665934,0.39524250000000016,0.5668099904725272,-0.17156749047252795,-0.4340815840212727,Sub-Saharan Africa
Burundi,BDI,6.588995,6.576394134347698,0.01260086565230134,6.23839,6.088092302740361,0.1502976972596386,0.35060499999999983,0.48830183160733664,-0.13769683160733726,-0.39274063863132963,Other
Cambodia,KHM,4.0615000000000006,4.986951018474921,-0.925451018474921,3.4568725000000002,3.6316649708943176,-0.17479247089431738,0.6046275000000003,1.355286047580603,-0.7506585475806036,-1.24152233826712,East Asia & Pacific
Cameroon,CMR,5.294015,5.159611995438308,0.13440300456169307,4.7008525,4.731708165241409,-0.030855665241408925,0.5931625,0.4279038301968985,0.165258669803102,0.2786060646165292,Sub-Saharan Africa
Canada,CAN,1.6094475,1.8437919915038656,-0.23434449150386583,1.4517125,1.6661605234109307,-0.21444802341093083,0.15773499999999996,0.17763146809293495,-0.019896468092934994,,North America
Cape Verde,CPV,6.008615,5.681256572117878,0.32735842788212155,2.93193,2.990944976615174,-0.059014976615173964,3.076685,2.690311595502704,0.3863734044972955,0.12558107329716742,Other
Cayman Islands,CYM,2.477145,2.2592271584581045,0.21791784154189564,1.4249100000000001,1.549589574225711,-0.12467957422571097,1.052235,0.7096375842323934,0.3425974157676066,0.3255902110912549,Latin America
Central African Republic,CAF,4.9239075,5.117550210192061,-0.19364271019206125,4.9286425000000005,5.039599781478984,-0.1109572814789841,-0.004735000000000156,0.077950428713077,-0.08268542871307716,,Sub-Saharan Africa
Chad,TCD,5.611895,5.585772282546459,0.026122717453541,6.057265000000001,6.088970778149008,-0.03170577814900799,-0.4453700000000014,-0.5031984956025495,0.05782849560254899,,Other
Chile,CHL,2.699885,2.661467743272885,0.03841725672711527,1.7149774999999998,1.8384523929176366,-0.12347489291763669,0.9849075000000003,0.8230153503552484,0.16189214964475196,0.1643729483679959,Latin America
China,CHN,3.5611375,2.9405369850378458,0.6206005149621543,1.5109750000000002,1.7659045174659505,-0.2549295174659504,2.0501625,1.1746324675718953,0.8755300324281047,0.42705396885764163,East Asia & Pacific
Colombia,COL,3.8106725,3.6548347309407596,0.15583776905924007,2.08471,2.0348275352693244,0.04988246473067537,1.7259625,1.6200071956714353,0.1059553043285647,0.06138911148334028,Latin America
Comoros,COM,6.1970925,6.213745757788203,-0.016653257788202147,4.6028,4.752369161557786,-0.14956916155778588,1.5942925,1.4613765962304175,0.13291590376958373,0.0833698356917465,Other
